[2025-07-27 22:44:16] WARNING [django.server:213] "GET /static/images/ndcamera.png HTTP/1.1" 404 1871
[2025-07-27 22:44:16] WARNING [django.server:213] "GET /static/images/adyapana.png HTTP/1.1" 404 1871
[2025-07-27 22:44:16] WARNING [django.server:213] "GET /static/images/pamunuwila-hardware.png HTTP/1.1" 404 1904
[2025-07-27 22:44:16] WARNING [django.server:213] "GET /static/images/imagescave.png HTTP/1.1" 404 1877
[2025-07-27 22:44:16] WARNING [django.server:213] "GET /static/images/election-sri-lanka.png HTTP/1.1" 404 1901
[2025-07-27 22:44:16] WARNING [django.server:213] "GET /static/images/opd-channeling.png HTTP/1.1" 404 1889
[2025-07-27 22:44:16] WARNING [django.server:213] "GET /static/images/helth-first.png HTTP/1.1" 404 1880
[2025-07-27 22:46:17] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
[2025-07-27 22:47:16] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
[2025-07-27 22:47:17] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
[2025-07-27 22:49:33] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
[2025-07-27 22:49:41] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
[2025-07-27 22:50:04] WARNING [django.server:213] "GET /static/images/sports/pic01.jpg HTTP/1.1" 404 1883
[2025-07-27 22:50:04] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
[2025-07-27 22:50:09] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
[2025-07-27 22:50:18] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
